FIRE_YEAR,Fire_Date,DISCOVERY_TIME,Days_to_extinguish_fire,CONT_TIME,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,STATE,FIPS_CODE,FIPS_NAME
2005,08-03-2009,1630,0,1730,0.1,A,44.4125,-110.5786,WY,,
2005,08-12-2009,1522,1,1230,0.1,A,44.4325,-110.6942,WY,,
2005,08-30-2009,1608,46,1400,180,D and above,44.9047,-110.1889,WY,,
2005,08-30-2009,1617,26,1700,0.1,A,44.7906,-110.4133,WY,,
2005,08-30-2009,1621,26,1700,0.3,B,44.7906,-110.4133,WY,,
2005,08-30-2009,1652,26,1700,0.3,B,45.0114,-110.015,MT,,
2005,09-05-2009,705,20,1700,0.1,A,44.7831,-110.4131,WY,,
2005,09-14-2009,935,31,1400,15,C,44.9986,-110.7503,MT,,
2005,09-22-2009,953,,,0.3,B,44.9147,-110.0469,WY,,
2005,09-23-2009,1225,22,1400,10700,D and above,44.5353,-110.5453,WY,,
2005,07-18-2001,1600,2,1630,11.2,C,36.14698,-92.46231,AR,,
2005,08-19-2000,800,0,2000,0.5,B,34.5192,-93.0507,AR,,
2005,09-02-2000,430,6,1600,20,C,34.52596,-93.07442,AR,,
2005,07-24-2002,200,0,1100,0.1,A,34.53018,-93.06216,AR,,
2005,08-12-2003,715,0,1015,0.1,A,34.51859,-93.05229,AR,,
2005,11-03-2009,1235,0,1600,0.1,A,34.5133,-93.0553,AR,,
2005,06-06-2005,507,0,1700,0.1,A,41.65872,-87.01458,IN,,
2005,08-12-2001,1605,,,7.6,B,48.05452,-88.59012,MI,,
2005,08-09-2004,730,,,0.1,A,48.16884,-88.46381,MI,,
2005,09-11-2005,1400,19,1300,0.1,A,48.0467,-88.6894,MI,,
2005,08-04-2006,1400,5,900,0.1,A,48.0122,-88.8494,MI,,
2005,09-01-2007,1530,2,1600,0.5,B,48.0542,-88.6731,MI,,
2005,09-06-2002,1420,0,1700,0.1,A,48.58501,-92.91521,MN,,
2005,09-15-2002,1700,0,2230,0.1,A,48.53769,-92.86928,MN,,
2005,09-17-2002,1410,,,0.1,A,48.57313,-93.04689,MN,,
2005,08-19-2003,1345,0,1700,0.1,A,48.58159,-92.92689,MN,,
2005,08-27-2003,1343,2,1400,2,B,48.53183,-92.65871,MN,,
2005,09-09-2003,700,0,1600,1.5,B,48.41966,-92.49064,MN,,
2005,07-08-2004,1700,,,1435,D and above,48.5078,-92.9125,MN,,
2005,07-11-2004,900,1,1300,0.1,A,48.53153,-92.74105,MN,,
2005,07-12-2004,1200,,,0.1,A,48.5602,-92.86554,MN,,
2005,07-12-2004,2000,1,2100,0.1,A,48.59182,-93.0954,MN,,
2005,07-25-2004,1500,,,0.1,A,48.52542,-93.07333,MN,,
2005,07-30-2005,1700,0,1830,0.1,A,48.4281,-92.6894,MN,,
2005,08-06-2005,1515,19,1430,0.2,A,48.5045,-92.9646,MN,,
2005,09-16-2005,1600,0,1700,0.1,A,48.4439,-93.0103,MN,,
2005,04-20-2006,1630,1,1000,0.1,A,48.43414,-92.84624,MN,,
2005,05-30-2006,1300,0,1430,0.1,A,48.4267,-92.6633,MN,,
2005,06-03-2006,1230,0,1830,2,B,48.53,-92.6497,MN,,
2005,07-25-2006,1900,1,1430,0.1,A,48.5089,-92.6783,MN,,
2005,09-09-2006,1426,2,1800,0.5,B,48.5244,-93.0317,MN,,
2005,06-15-2007,1300,0,1600,0.1,A,48.4197,-92.4797,MN,,
2005,06-15-2007,1500,0,1630,0.1,A,48.4422,-92.7875,MN,,
2005,08-10-2007,1600,0,1700,0.1,A,48.5894,-93.0553,MN,,
2005,08-11-2007,1618,0,1930,0.1,A,48.5458,-92.8383,MN,,
2005,09-06-2007,1700,22,1630,7.5,B,48.52,-92.8136,MN,,
2005,06-25-2009,1500,0,1700,0.2,A,48.4472,-92.7347,MN,,
2005,05-14-2008,1530,0,1730,0.1,A,37.1139,-91.2072,MO,,
2005,08-26-2000,1630,10,1800,277.6,D and above,46.92461,-103.36943,ND,,
2005,08-26-2000,1730,,,2,B,46.92481,-103.49388,ND,,
2005,09-18-2000,1330,,,0.1,A,47.01522,-103.51754,ND,,
2005,06-05-2002,1500,1,100,30,C,47.21518,-103.24824,ND,,
2005,08-24-2002,1455,0,1800,5,B,47.21518,-103.24824,ND,,
2005,08-25-2002,1530,0,1630,1.2,B,47.21518,-103.24823,ND,,
2005,08-25-2002,1600,0,1930,90,C,47.21518,-103.24824,ND,,
2005,07-15-2003,1635,0,2100,10,C,46.64106,-103.47384,ND,,
2005,09-09-2003,1240,1,1900,40,C,47.56816,-103.45691,ND,,
2005,09-14-2003,1330,,,2,B,47.59569,-103.40505,ND,,
2005,07-09-2004,1545,0,2000,8,B,46.9914,-103.4572,ND,,
2005,08-10-2006,1000,0,1030,0.1,A,46.8956,-103.8956,ND,,
2005,05-12-2009,800,0,1300,0.3,B,47.5992,-103.3389,ND,,
2005,06-25-2000,2030,4,1900,0.2,A,40.28574,-96.83331,NE,,
2005,08-02-2002,2200,1,30,5.7,B,41.82464,-103.72641,NE,,
2005,06-28-2003,1710,0,1740,2.9,B,41.84968,-103.71199,NE,,
2005,07-07-2000,1015,0,1045,1,B,43.79253,-102.08083,SD,,
2005,07-07-2000,1300,0,1800,240,D and above,43.53602,-102.5515,SD,,
2005,07-14-2000,1830,0,2000,1.5,B,43.58629,-102.69197,SD,,
2005,09-06-2000,1000,0,1500,30,C,43.63141,-102.56404,SD,,
2005,08-22-2001,1930,0,2200,0.5,B,43.89888,-102.3271,SD,,
2005,06-01-2002,725,0,855,9.7,B,43.90915,-102.42712,SD,,
2005,08-29-2002,1300,,,5,B,43.75171,-102.38746,SD,,
2005,09-04-2002,1500,0,1730,5,B,43.87323,-102.50609,SD,,
2005,09-05-2002,1630,0,1830,5,B,43.60527,-102.42239,SD,,
2005,07-03-2003,1830,0,1930,0.1,A,43.86666,-102.46711,SD,,
2005,07-15-2003,2030,1,1600,200,D and above,43.55841,-102.27909,SD,,
2005,08-19-2003,1300,0,1530,0.2,A,43.71333,-102.06072,SD,,
2005,07-20-2005,1700,0,2130,14,C,43.8336,-102.255,SD,,
2005,07-31-2005,1530,2,0,0.3,B,43.7022,-102.5828,SD,,
2005,08-25-2005,10,,,0.1,A,43.7036,-102.5675,SD,,
2005,08-25-2005,56,,,1.4,B,43.8672,-102.2058,SD,,
2005,07-12-2006,1800,0,2130,28.1,C,43.7856,-101.9833,SD,,
2005,07-26-2006,1840,4,2130,1460,D and above,43.7525,-102.4039,SD,,
2005,08-08-2006,1557,0,1830,13.8,C,43.7642,-102.3792,SD,,
2005,08-12-2006,1055,0,1800,33.6,C,43.7742,-101.9247,SD,,
2005,08-14-2006,1955,1,1200,28.8,C,43.804,-102.417,SD,,
2005,07-01-2007,1800,0,2000,0.1,A,43.7922,-102.0292,SD,,
2005,07-19-2009,2215,,,0.1,A,43.7653,-102.0186,SD,,
2005,09-06-2001,1900,1,1530,0.1,A,43.88237,-103.45712,SD,,
2005,05-18-2007,1400,0,1800,0.1,A,43.8797,-103.44,SD,,
2005,07-06-2000,1443,3,1700,13.3,C,43.59197,-103.46415,SD,,
2005,07-14-2000,1050,4,1800,1136.6,D and above,43.63377,-103.45473,SD,,
2005,08-03-2000,1530,0,2030,1,B,43.57286,-103.42992,SD,,
2005,08-05-2000,900,0,1130,0.2,A,43.61464,-103.48792,SD,,
2005,08-05-2000,1200,1,1000,4,B,43.60044,-103.48581,SD,,
2005,08-12-2000,2100,0,2120,0.1,A,43.53147,-103.49862,SD,,
2005,08-26-2000,2120,0,2250,0.2,A,43.52307,-103.48561,SD,,
2005,08-26-2000,2250,1,215,0.1,A,43.63368,-103.49112,SD,,
2005,09-05-2000,1400,,,0.1,A,43.58786,-103.42544,SD,,
2005,09-05-2000,1645,0,1750,0.1,A,43.52143,-103.49588,SD,,
2005,07-08-2001,1430,0,2230,5.8,B,43.5472,-103.5077,SD,,
2005,08-12-2001,1500,0,2000,3,B,43.54682,-103.3563,SD,,
2005,08-22-2001,1600,0,2100,4.7,B,43.58558,-103.40689,SD,,
2005,06-01-2002,900,0,1800,35,C,43.58666,-103.36492,SD,,
2005,06-01-2002,1000,0,1415,0.1,A,43.62397,-103.50016,SD,,
2005,06-01-2002,1000,0,1415,0.1,A,43.62679,-103.50242,SD,,
2005,06-01-2002,1045,0,1545,2,B,43.62571,-103.4044,SD,,
2005,06-21-2002,1100,1,2000,20,C,43.58451,-103.41851,SD,,
2005,08-22-2002,1245,0,1730,0.5,B,43.58584,-103.47544,SD,,
2005,08-26-2003,900,0,2030,12,C,43.58233,-103.465,SD,,
2005,10-14-2003,1130,,,0.1,A,43.55571,-103.44583,SD,,
2005,07-02-2004,1650,0,1800,0.5,B,43.54215,-103.39818,SD,,
2005,07-02-2004,1730,0,2000,0.1,A,43.54654,-103.49777,SD,,
2005,07-06-2004,1150,0,2200,20,C,43.49736,-103.51343,SD,,
2005,07-13-2004,2045,0,2220,0.1,A,43.55873,-103.48262,SD,,
2005,08-07-2005,1900,1,2300,0.3,B,43.6525,-103.4933,SD,,
2005,08-27-2005,1330,1,1340,2.5,B,43.6622,-103.4925,SD,,
2005,07-07-2006,1430,0,1800,0.1,A,43.627,-103.34,SD,,
2005,07-20-2007,1600,0,1847,0.7,B,43.56183,-103.49647,SD,,
2005,04-23-2008,2000,1,859,0.1,A,43.62303,-103.49053,SD,,
2005,07-01-2008,1345,0,1730,0.1,A,43.5953,-103.49152,SD,,
2005,09-04-2008,848,0,1030,0.1,A,43.553114,-103.49264,SD,,
2005,09-04-2008,1202,0,1507,0.1,A,43.58981,-103.4975,SD,,
2005,07-02-2009,1000,1,1540,0.9,B,43.61063,-103.47813,SD,,
2005,08-04-2009,2004,0,2134,0.2,A,43.55564,-103.47681,SD,,
2005,07-26-2000,1405,,,0.1,A,46.9031,-91.0325,WI,,
2005,08-28-2003,900,1,1100,0.1,A,46.9117,-90.55,WI,,
