FIRE_YEAR,Fire_Date,DISCOVERY_TIME,Days_to_extinguish_fire,CONT_TIME,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,STATE,FIPS_CODE,FIPS_NAME
2005,05-15-2000,1830,16,2100,100,D and above,25.651661,-80.535947,FL,,
2005,06-09-1999,1200,18,1930,100,D and above,29.716,-94.075,TX,,
2005,08-09-2006,1500,13,1900,100,D and above,48.05,-106.5833333,MT,,
2005,05-06-2007,1000,7,1800,100,D and above,30.5125,-82.69861111,FL,,
2006,07-21-1992,1447,2,1804,100,D and above,32.17337043,-110.6950988,AZ,19,Pima
2006,07-30-1996,,10,,100,D and above,45.10128,-119.75266,OR,49,Morrow
2007,08-05-2003,,3,,100,D and above,45.10741,-118.77551,OR,59,Umatilla
2007,06-17-1992,415,14,510,100,D and above,46.08663237,-91.39795307,WI,113,Sawyer
2008,08-24-2003,1900,10,2100,100,D and above,45.5089,-103.3766,SD,,
2009,06-11-2007,1530,17,2000,100,D and above,31.224845,-87.099243,AL,53,Escambia
2009,07-08-2006,1434,10,1957,100,D and above,31.4307,-86.539916,AL,39,Covington
2009,07-04-2004,500,8,500,100,D and above,42.02205658,-101.928688,NE,,
2009,03-22-2009,1422,3,1422,100,D and above,35.77628,-103.94048,NM,21,Harding
2009,05-31-2009,1845,3,1845,100,D and above,33.170445,-103.72143,NM,25,Lea
2009,06-17-2009,1721,20,1721,100,D and above,33.85965219,-103.4656488,NM,41,Roosevelt
2010,06-09-2001,1855,9,,100,D and above,42.87109286,-106.0730208,WY,,
2005,07-29-2005,800,10,800,100,D and above,35.9688,-117.0098,CA,,
2005,07-05-1997,1800,10,600,100,D and above,29.9333333,-93.4021,LA,,
2005,09-09-1997,1630,8,600,100,D and above,29.9333333,-93.7,LA,,
2005,07-09-1998,1930,9,200,100,D and above,33.84166667,-91.38333333,AR,,
2005,05-27-1998,1100,7,1600,100,D and above,47.683,-107.5,MT,,
2005,07-24-2000,1530,3,1400,100,D and above,31.677,-111.425,AZ,,
2005,09-17-2000,2130,10,30,100,D and above,42.35833333,-101.0333333,NE,,
2005,09-17-2000,2230,9,2359,100,D and above,42.41194444,-100.55,NE,,
2005,06-17-2001,1730,8,730,100,D and above,26.3972222,-80.25,FL,,
2005,03-25-2004,1200,7,1430,100,D and above,47.431,-107.969,MT,,
2006,08-04-1994,,1,,100,D and above,45.24767,-118.21131,OR,61,Union
2006,08-10-1995,1320,5,1116,100,D and above,32.80669919,-109.8460183,AZ,9,Graham
2008,08-12-2003,2235,16,2200,100,D and above,44.800833,-105.500278,WY,5,Campbell
2009,06-23-2008,2107,19,10,100,D and above,31.034899,-86.810649,AL,53,Escambia
2009,08-20-2010,1500,12,1400,100,D and above,45.0383,-121.1625,OR,,
2009,07-18-2010,737,12,1401,100,D and above,33.37592,-110.05436,AZ,,
2010,07-01-2006,1600,12,1600,100,D and above,42.22645883,-104.7507027,WY,,
2010,05-06-2010,1750,3,1750,100,D and above,26.3156,-80.3131,FL,11,Broward
2005,07-20-2006,1045,4,1800,100,D and above,36.608611,-115.000556,NV,,
2005,07-13-2007,1300,12,1900,100,D and above,46.59944444,-119.3819444,WA,,
2006,07-03-1994,1545,5,1830,100,D and above,31.69252965,-109.5428008,AZ,3,Cochise
2009,08-17-2010,1736,11,1630,100,D and above,45.0625,-121.2875,OR,,
2007,08-09-2001,,8,,100,D and above,44.00684,-119.38332,OR,23,Grant
2009,06-26-2010,1004,3,900,100,D and above,32.2733333,-104.734167,NM,15,Eddy
2009,08-16-2010,1248,2,1000,100,D and above,39.8022222,-111.79,UT,23,Juab
2009,08-04-2010,1541,8,800,100,D and above,46.8680556,-121.35,WA,77,Yakima
2005,09-06-1992,1620,18,,100,D and above,29.06666667,-81.4,FL,,
2005,09-17-1992,1300,15,,100,D and above,29.98333333,-93.75,LA,,
2005,07-29-1997,1500,18,,100,D and above,29.71666667,-94.11666667,TX,,
2005,08-23-1997,1300,1,,100,D and above,29.6,-94.28333333,TX,,
2005,06-12-1999,1737,19,,100,D and above,28.73333333,-82.61666667,FL,,
2005,09-08-2000,2300,18,,100,D and above,42.54722222,-100.7902778,NE,,
2005,08-09-2003,,13,,100,D and above,38.35,-100.17,KS,,
2005,07-14-2003,,2,,100,D and above,38.27,-100.08,KS,,
2005,06-21-2001,,4,,100,D and above,60.75388,-155.1479,AK,,
2005,07-24-2006,,8,,100,D and above,33.0279,-93.67274997,AR,73,Lafayette
2005,07-22-2006,,6,,100,D and above,33.01267999,-93.01150001,AR,57,Hempstead
2005,07-27-2008,,11,,100,D and above,33.666,-92.63235,AR,13,Calhoun
2005,06-24-2005,,1,,100,D and above,34.6004142,-113.232029,AZ,,
2005,08-20-2006,,4,,100,D and above,26.18750001,-80.43860997,FL,11,Broward
2005,06-08-2007,,6,,100,D and above,26.8925,-81.57360997,FL,15,Charlotte
2005,07-01-2007,,15,,100,D and above,26.14361,-81.53193998,FL,21,Collier
2005,06-15-2007,,11,,100,D and above,26.77305999,-80.38415999,FL,99,Palm Beach
2005,07-22-2007,,3,,100,D and above,30.63111,-83.85,FL,65,Jefferson
2005,07-16-2007,,16,,100,D and above,27.15778,-82.22833,FL,115,Sarasota
2005,07-16-2007,,5,,100,D and above,26.17167,-80.41972,FL,11,Broward
2005,06-07-2003,,13,,100,D and above,27.48722001,-80.78415997,FL,93,Okeechobee
2005,05-20-2003,,4,,100,D and above,26.28332999,-80.41665999,FL,11,Broward
2005,06-03-2008,,9,,100,D and above,29.30833,-82.63306,FL,75,Levy
2005,06-04-2008,,6,,100,D and above,27.65694,-81.68278,FL,105,Polk
2005,07-01-2008,,7,,100,D and above,27.73889,-82.01278,FL,105,Polk
2005,06-11-2008,,15,,100,D and above,26.265,-80.46722,FL,11,Broward
2005,07-25-2004,,13,,100,D and above,29.82917001,-81.78806001,FL,107,Putnam
2005,07-07-2004,,19,,100,D and above,28.64166998,-80.91999998,FL,9,Brevard
2005,06-26-2004,,5,,100,D and above,27.68528001,-81.55139001,FL,105,Polk
2005,07-05-2004,,8,,100,D and above,27.87721999,-81.97444,FL,105,Polk
2005,06-07-2004,,1,,100,D and above,26.90332999,-81.80695001,FL,15,Charlotte
2005,06-06-2004,,4,,100,D and above,26.87778002,-80.34416997,FL,99,Palm Beach
2005,06-30-2004,,8,,100,D and above,26.26999998,-80.40249998,FL,11,Broward
2005,07-02-2004,,19,,100,D and above,26.09555997,-80.61055997,FL,11,Broward
2005,06-28-2009,,14,,100,D and above,27.65111,-80.88306,FL,97,Osceola
2005,05-12-2009,,13,,100,D and above,27.17667,-80.36139,FL,85,Martin
2005,06-23-2009,,15,,100,D and above,26.55139,-82.09639,FL,71,Lee
2005,05-30-2005,,20,,100,D and above,25.42582997,-80.46944001,FL,25,Dade
2005,06-03-2006,,18,,100,D and above,27.645,-80.91750002,FL,97,Osceola
2005,05-28-2006,,10,,100,D and above,26.99306002,-80.24666999,FL,85,Martin
2006,01-27-2005,,20,,100,D and above,30.29705303,-89.95624843,LA,103,St. Tammany
2006,03-13-2005,,2,,100,D and above,30.90605672,-92.6956699,LA,79,Rapides
2006,06-29-2005,,7,,100,D and above,32.93900059,-93.1975287,LA,27,Claiborne
2006,09-23-2005,,14,,100,D and above,30.3857099,-93.11593207,LA,53,Jefferson Davis
2006,09-23-2005,,9,,100,D and above,30.89089816,-92.64420445,LA,3,Allen
2006,05-17-1994,,16,,100,D and above,48.98659896,-96.85377038,MN,69,Kittson
2006,08-02-2000,,8,,100,D and above,45.9121,-106.8665,MT,87,Rosebud
2006,08-02-2000,,11,,100,D and above,45.2402,-105.4558,MT,75,Powder River
2006,08-10-2007,,11,,100,D and above,42.91521,-101.7065,NE,,
2006,05-31-2000,,19,,100,D and above,34.65559998,-104.0482,NM,37,Quay
2006,06-01-2000,,8,,100,D and above,33.57666998,-103.6983,NM,5,Chaves
2006,08-08-2000,,14,,100,D and above,36.53210001,-104.1426,NM,7,Colfax
2006,09-18-2000,,17,,100,D and above,34.99090002,-103.9576,NM,37,Quay
2006,09-03-2000,,11,,100,D and above,35.32609999,-107.3543,NM,31,McKinley
2006,05-25-2001,,12,,100,D and above,34.01832999,-103.31,NM,41,Roosevelt
