FIRE_YEAR,Fire_Date,DISCOVERY_TIME,Days_to_extinguish_fire,CONT_TIME,FIRE_SIZE,FIRE_SIZE_CLASS
2010,08-04-2010,1441,0,1441,7,B
2010,07-28-2010,1502,1,1502,20.4,C
2010,08-03-2010,1235,0,1235,2.5,B
2010,07-28-2010,1700,0,1700,40,C
2010,07-28-2010,1700,0,1700,30,C
2010,08-03-2010,1630,0,1630,0.1,A
2010,07-30-2010,1330,0,1330,8.9,B
2010,08-01-2010,1415,1,1415,7,B
2010,08-06-2010,1316,5,1316,10,C
2010,08-06-2010,1830,0,1830,5,B
2010,08-09-2010,1722,0,1722,6.5,B
2010,08-05-2010,1723,0,1723,10,C
2010,08-10-2010,1300,0,1300,1.5,B
2010,08-02-2010,1420,0,1420,10.4,C
2010,08-02-2010,1600,0,1600,10.5,C
2010,08-07-2010,1335,0,1335,10,C
2010,08-18-2010,1615,0,1615,0.1,A
2010,07-30-2010,1420,0,1420,1,B
2010,08-16-2010,1545,0,1545,2,B
2010,08-18-2010,1630,0,1630,5,B
2010,08-17-2010,1730,0,1730,14,C
2010,08-20-2010,2040,1,2040,0.2,A
2010,08-16-2010,1645,0,1645,28,C
2010,08-16-2010,1400,0,1400,6.5,B
2010,08-18-2010,1645,0,1645,5,B
2010,08-20-2010,2155,1,2155,10,C
2010,08-22-2010,,0,,0.1,A
2010,08-18-2010,1650,0,1650,0.1,A
2010,08-11-2010,1320,0,1320,20.2,C
2010,08-20-2010,1325,0,1325,0.8,B
2010,08-20-2010,1345,0,1345,0.1,A
2010,08-21-2010,1500,0,1500,0.1,A
2010,08-21-2010,1615,0,1615,0.3,B
2010,08-21-2010,1845,1,1845,0.1,A
2010,08-18-2010,1515,0,1515,45,C
2010,08-23-2010,1557,0,1557,1,B
2010,08-23-2010,1320,0,1320,2,B
2010,08-21-2010,1500,0,1500,1,B
2010,08-20-2010,,0,,15,C
2010,08-21-2010,1806,0,1806,10,C
2010,08-18-2010,1510,0,1510,1.5,B
2010,08-20-2010,1645,0,1645,10.1,C
2010,08-19-2010,1946,0,1946,1.1,B
2010,08-28-2010,1430,0,1430,0.5,B
2010,08-19-2010,1630,0,1630,15,C
2010,08-20-2010,1115,0,1115,23.5,C
2010,09-06-2010,1404,0,1404,4,B
2010,09-12-2010,1227,0,1227,1,B
2010,09-08-2010,1035,0,1035,4.1,B
2010,09-05-2010,1500,0,1500,1,B
2010,09-13-2010,1845,0,1845,0.1,A
2010,09-13-2010,1230,0,1230,1,B
2010,09-16-2010,1410,0,1410,30,C
2010,09-07-2010,1643,0,1643,22.3,C
2010,09-25-2010,1139,0,1139,11,C
2010,09-25-2010,1508,0,1508,32.3,C
2010,09-26-2010,1600,0,1600,1,B
2010,09-22-2010,,0,,20,C
2010,09-25-2010,1124,0,1124,73,C
2010,09-27-2010,1908,1,1908,3,B
2010,07-15-2010,1640,0,1640,1,B
2010,07-15-2010,1448,0,1448,164.1,D
2010,04-10-2010,1355,0,1355,44,C
2010,07-28-2010,1515,0,1515,0.5,B
2010,07-28-2010,1620,0,1620,0.3,B
2010,07-27-2010,1740,1,1740,250,D
2010,07-28-2010,1445,0,1445,0.5,B
2010,07-28-2010,,0,,0.5,B
2010,07-06-2010,1300,0,1300,0.4,B
2010,07-20-2010,1515,1,1515,68.8,C
2010,07-29-2010,1445,0,1445,13,C
2010,07-28-2010,1534,1,1534,40,C
2010,07-31-2010,1650,0,1650,0.1,A
2010,07-30-2010,1205,0,1205,0.5,B
2010,07-28-2010,1930,1,1930,7,B
2010,08-15-2010,1606,0,1606,0.1,A
2010,08-15-2010,1810,0,1810,8,B
2010,08-03-2010,1350,0,1350,15.3,C
2010,08-13-2010,1415,0,1415,5,B
2010,08-16-2010,1405,0,1405,0.2,A
2010,08-14-2010,1445,0,1445,1,B
2010,08-03-2010,1017,0,1017,12,C
2010,08-04-2010,,0,,10,C
2010,08-15-2010,1315,2,1315,5,B
2010,08-17-2010,1320,0,1320,2.7,B
2010,08-17-2010,1745,0,1745,0.3,B
2010,08-15-2010,1730,0,1730,14,C
2010,09-29-2010,1605,0,1605,5,B
2010,09-24-2010,1300,0,1300,20,C
2010,09-27-2010,1920,0,1920,4,B
2010,09-24-2010,1845,1,1845,10,C
2010,09-13-2010,1545,2,1545,50,C
2010,04-11-2010,1254,0,1254,0.5,B
2010,06-17-2010,1655,0,1655,3,B
2010,06-17-2010,1815,0,1815,0.1,A
2010,06-15-2010,1950,0,1950,7,B
2010,06-14-2010,1620,0,1620,4,B
2010,06-15-2010,1531,0,1531,0.3,B
2010,06-17-2010,1310,0,1310,15,C
2010,06-15-2010,1800,1,1800,1,B
2010,06-14-2010,2006,0,2006,0.1,A
2010,06-16-2010,2200,1,2200,30,C
2010,06-15-2010,1740,0,1740,2.3,B
2010,06-17-2010,1450,0,1450,0.5,B
2010,06-15-2010,1845,0,1845,2,B
2010,06-17-2010,1845,0,1845,7,B
2010,06-15-2010,1629,0,1629,6,B
2010,04-09-2010,1315,0,1315,5,B
2010,04-22-2010,1400,0,1400,8,B
2010,04-24-2010,1240,0,1240,20,C
2010,04-22-2010,1718,0,1718,15,C
2010,04-25-2010,1320,0,1320,0.1,A
2010,04-24-2010,1723,0,1723,15,C
2010,04-26-2010,,0,,0.2,A
2010,04-26-2010,2055,1,2055,1,B
2010,04-26-2010,1405,0,1405,20,C
2010,04-29-2010,1539,0,1539,0.3,B
2010,04-25-2010,1601,0,1601,0.1,A
2010,04-26-2010,1523,0,1523,2,B
2010,04-26-2010,1310,0,1310,16,C
2010,04-26-2010,1354,0,1354,3.1,B
2010,04-26-2010,1538,6,1538,3.5,B
2010,05-02-2010,2135,1,2135,2,B
2010,04-26-2010,1503,0,1503,13.5,C
2010,05-06-2010,1750,1,1750,100,D
2010,05-06-2010,1910,1,1910,1.5,B
2010,05-07-2010,1955,0,1955,3,B
2010,05-07-2010,1445,0,1445,5,B
2010,04-26-2010,1735,1,1735,78.2,C
2010,04-28-2010,1550,0,1550,0.5,B
2010,05-07-2010,1645,0,1645,10,C
2010,04-25-2010,1735,0,1735,2,B
2010,05-16-2010,1225,0,1225,0.1,A
2010,05-16-2010,1440,0,1440,0.1,A
2010,05-16-2010,1415,0,1415,15,C
2010,05-16-2010,1415,0,1415,1.5,B
2010,05-16-2010,1715,0,1715,1.5,B
2010,05-16-2010,1630,0,1630,4,B
2010,05-16-2010,1530,0,1530,5,B
2010,05-17-2010,1405,0,1405,0.1,A
2010,05-06-2010,1730,0,1730,5,B
2010,05-16-2010,1615,0,1615,5,B
2010,05-07-2010,1615,0,1615,3,B
2010,04-29-2010,1407,0,1407,117,D
2010,05-16-2010,2115,0,2115,1.7,B
2010,05-21-2010,2130,0,2130,0.1,A
2010,05-18-2010,1415,0,1415,1,B
2010,05-21-2010,1618,0,1618,3,B
2010,05-20-2010,1945,0,1945,15,C
2010,05-21-2010,1545,0,1545,2,B
2010,05-25-2010,1809,0,1809,0.5,B
2010,05-25-2010,1750,0,1750,1,B
2010,05-26-2010,1330,0,1330,1,B
2010,05-26-2010,1621,0,1621,3,B
2010,05-26-2010,,0,,2,B
2010,05-27-2010,1825,1,1825,0.1,A
2010,05-28-2010,1422,0,1422,0.1,A
2010,05-28-2010,1434,0,1434,0.1,A
2010,05-24-2010,1435,0,1435,0.8,B
2010,05-28-2010,1541,0,1541,0.5,B
2010,05-28-2010,1558,0,1558,3,B
2010,05-29-2010,1115,0,1115,35,C
2010,05-28-2010,2210,0,2210,0.2,A
2010,05-29-2010,1120,0,1120,1,B
2010,05-29-2010,1410,0,1410,1,B
2010,05-29-2010,1200,0,1200,0.1,A
2010,05-28-2010,1811,0,1811,0.5,B
2010,05-28-2010,1700,0,1700,0.1,A
2010,05-22-2010,1435,0,1435,20,C
2010,05-28-2010,1725,0,1725,1,B
2010,05-30-2010,1825,0,1825,0.1,A
2010,05-30-2010,1300,0,1300,4,B
2010,05-30-2010,2220,1,2220,0.1,A
2010,05-26-2010,1340,0,1340,90,C
2010,06-01-2010,1132,0,1132,0.1,A
2010,05-24-2010,1943,0,1943,0.1,A
2010,05-28-2010,1750,0,1750,2,B
2010,05-28-2010,1625,0,1625,37,C
