FIRE_YEAR,Fire_Date,DISCOVERY_TIME,Days_to_extinguish_fire,CONT_TIME,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,STATE,FIPS_CODE,FIPS_NAME
2000,2000,,9,,100,D,36.53210001,-104.1426,NM,7,Colfax
2000,2000,2300,10,,100,D,42.54722222,-100.7902778,NE,,
2000,2000,,12,,100,D,28.34,-82.01,FL,119,Sumter
2000,2000,,11,,100,D,30.02,-81.96,FL,19,Clay
1994,1994,,4,,100,D,45.0792,-120.1377,OR,69,Wheeler
2001,2001,,15,,100,D,26.8947,-81.9156,FL,15,Charlotte
1994,1994,,8,,100,D,38.07839,-102.71247,CO,,
1994,1994,,4,,100,D,37.50721,-102.88648,CO,,
1994,1994,,17,,100,D,40.59339,-107.40362,CO,,
1994,1994,1421,7,0,100,D,35.69724312,-114.3386544,AZ,15,Mohave
2001,2001,,7,,100,D,27.9608,-81.0103,FL,97,Osceola
1994,1994,,12,,100,D,26.4281,-80.4539,FL,99,Palm Beach
1994,1994,,16,,100,D,26.4281,-80.4539,FL,99,Palm Beach
1994,1994,1810,8,,100,D,26.38333333,-80.26666667,FL,,
1994,1994,1300,15,1300,100,D,34.06470151,-111.295998,AZ,7,Gila
1994,1994,1155,16,0,100,D,34.74920834,-113.2023012,AZ,25,Yavapai
1994,1994,1215,15,2110,100,D,46.541667,-119.291667,WA,,
1994,1994,,7,,100,D,44.7386,-119.66574,OR,69,Wheeler
2001,2001,,10,,100,D,28.9683,-81.7158,FL,83,Marion
2001,2001,,10,,100,D,25.9208,-80.5781,FL,11,Broward
2001,2001,1855,11,,100,D,42.87109286,-106.0730208,WY,,
1994,1994,,4,,100,D,63.916667,-155.316665,AK,,
2001,2001,,5,,100,D,44.00684,-119.38332,OR,23,Grant
1994,1994,,13,,100,D,39.99332,-102.71649,CO,,
2002,2002,,12,,100,D,28.31,-82.4772,FL,101,Pasco
2002,2002,,11,,100,D,35,-80.1333,NC,,
1994,1994,,7,,100,D,26.3689,-80.745,FL,99,Palm Beach
2002,2002,,4,,100,D,45.85623,-103.57241,SD,,
1994,1994,,5,,100,D,37.2286,-102.75148,CO,,
2002,2002,,18,,100,D,33.49959997,-107.5296,NM,53,Socorro
2003,2003,,16,,100,D,41.355,-123.9138889,CA,,
2003,2003,,1,,100,D,45.10741,-118.77551,OR,59,Umatilla
2003,2003,,10,,100,D,27.48722001,-80.78415997,FL,93,Okeechobee
2003,2003,,20,,100,D,38.35,-100.17,KS,,
2003,2003,,14,,100,D,35.45,-76.0667,NC,,
1994,1994,,2,,100,D,63.666667,-141.78334,AK,,
1994,1994,,12,,100,D,33.66388888,-116.9361111,CA,,
2003,2003,2235,5,2200,100,D,44.800833,-105.500278,WY,5,Campbell
1995,1995,830,17,,100,D,36.1829,-113.20409,AZ,,
2003,2003,1905,1,,100,D,44.366667,-106.033333,WY,19,Johnson
2004,2004,,17,,100,D,26.09555997,-80.61055997,FL,11,Broward
1995,1995,,14,,100,D,44.48899,-119.42219,OR,23,Grant
1995,1995,1830,19,2340,100,D,42.61666667,-100.9166667,NE,,
2004,2004,500,2,500,100,D,42.02205658,-101.928688,NE,,
2004,2004,,15,,100,D,27.87721999,-81.97444,FL,105,Polk
1995,1995,,10,,100,D,37.76949,-102.61247,CO,,
1995,1995,,18,,100,D,37.78406,-102.43047,CO,,
2004,2004,,6,,100,D,26.87778002,-80.34416997,FL,99,Palm Beach
1995,1995,1830,13,1200,100,D,33.69717782,-111.7727772,AZ,13,Maricopa
2004,2004,,1,,100,D,26.90332999,-81.80695001,FL,15,Charlotte
1995,1995,1800,18,900,100,D,31.616,-111.5,AZ,,
2004,2004,,7,,100,D,28.64166998,-80.91999998,FL,9,Brevard
2005,2005,,11,,100,D,30.74407997,-104.0947,TX,243,Jeff Davis
2005,2005,,5,,100,D,31.44392999,-99.67827998,TX,95,Concho
1995,1995,,11,,100,D,26.4,-80.84,FL,99,Palm Beach
1995,1995,1730,10,0,100,D,32.88929782,-110.9156141,AZ,21,Pinal
2005,2005,,11,,100,D,32.71143998,-99.32471001,TX,417,Shackelford
1995,1995,1600,7,,100,D,26.5,-80.45,FL,,
2006,2006,1600,19,1600,100,D,42.22645883,-104.7507027,WY,,
1995,1995,,8,,100,D,29.17,-81.17,FL,127,Volusia
1995,1995,1715,12,1000,100,D,29.9166667,-93.4666667,LA,,
1995,1995,,9,,100,D,64.816665,-144.983337,AK,,
2006,2006,,1,,100,D,33.87236,-102.8212,TX,17,Bailey
2006,2006,,11,,100,D,27.645,-80.91750002,FL,97,Osceola
2006,2006,,19,,100,D,44.91920001,-99.33850002,SD,,
1995,1995,,2,,100,D,63.45,-142.03334,AK,,
2006,2006,,2,,100,D,44.91500001,-101.0852,SD,,
1996,1996,1700,13,1800,100,D,47.336,-114.4723,MT,,
2006,2006,,6,,100,D,43.90079998,-102.069,SD,,
2006,2006,,8,,100,D,34.00041999,-101.0852,TX,153,Floyd
1996,1996,1100,14,1900,100,D,47.683,-107.5,MT,,
2006,2006,1434,15,1957,100,D,31.4307,-86.539916,AL,39,Covington
1996,1996,830,14,1800,100,D,29.16,-95.17,TX,,
2006,2006,1500,19,1900,100,D,48.05,-106.5833333,MT,,
2006,2006,,15,,100,D,32.83111,-102.5427,TX,165,Gaines
1996,1996,930,15,1630,100,D,28.233,-96.9167,TX,,
2006,2006,,6,,100,D,34.88698997,-101.2867,TX,11,Armstrong
2006,2006,,18,,100,D,33.35177,-100.3257,TX,433,Stonewall
2006,2006,,12,,100,D,32.33020002,-102.4358,TX,3,Andrews
2006,2006,,2,,100,D,44.46669999,-101.1848,SD,,
2007,2007,,17,,100,D,26.14361,-81.53193998,FL,21,Collier
1996,1996,1612,14,0,100,D,34.8577182,-109.1237657,AZ,1,Apache
2007,2007,,16,,100,D,33.08004,-101.6,TX,305,Lynn
2007,2007,1000,2,1800,100,D,30.5125,-82.69861111,FL,,
1996,1996,1322,7,,100,D,33.09593,-86.36538,AL,37,Coosa
1996,1996,1300,17,,100,D,29.9694444,-93.7,LA,,
