FIRE_YEAR,Fire_Date,DISCOVERY_TIME,Days_to_extinguish_fire,CONT_TIME,FIRE_SIZE,FIRE_SIZE_CLASS
2010,03-31-2010,1515,10,,17.8,C
2010,06-18-2010,1200,0,1200,18,C
2010,06-27-2010,2340,1,2340,18,C
2010,06-16-2010,,0,,18,C
2010,09-03-2010,1615,2,,18,C
2010,09-18-2010,1552,8,,18,C
2010,10-18-2010,1440,0,,18,C
2010,02-25-2010,1500,8,,18,C
2010,01-26-2010,1255,8,,18,C
2010,05-05-2010,900,4,,18.42,C
2010,01-27-2010,1435,8,,18.5,C
2010,04-29-2010,1410,2,,18.8,C
2010,07-30-2010,,0,,19,C
2010,10-28-2010,1440,8,,19,C
2010,03-19-2010,1325,2,,19,C
2010,07-08-2010,1930,1,1300,19,C
2010,01-27-2010,1700,6,,19.2,C
2010,05-21-2010,1510,5,,19.6,C
2010,03-18-2010,2230,1,,19.6,C
2010,07-18-2010,1300,0,1300,20,C
2010,07-31-2010,1430,0,1430,20,C
2010,09-22-2010,,0,,20,C
2010,09-24-2010,1300,0,1300,20,C
2010,04-24-2010,1240,0,1240,20,C
2010,04-26-2010,1405,0,1405,20,C
2010,05-22-2010,1435,0,1435,20,C
2010,06-08-2010,1615,1,1615,20,C
2010,06-15-2010,1610,0,1610,20,C
2010,06-20-2010,1334,0,1334,20,C
2010,08-16-2010,1335,1,,20,C
2010,08-19-2010,1627,10,,20,C
2010,06-26-2010,700,0,1430,20,C
2010,06-28-2010,1500,0,1555,20,C
2010,08-11-2010,1320,0,1320,20.2,C
2010,07-28-2010,1502,1,1502,20.4,C
2010,05-29-2010,1220,8,,20.5,C
2010,03-31-2010,1400,1,,20.5,C
2010,04-02-2010,1250,6,,20.6,C
2010,02-28-2010,1520,1,,21.3,C
2010,10-25-2010,,0,,21.5,C
2010,03-23-2010,1210,1,,22.1,C
2010,09-07-2010,1643,0,1643,22.3,C
2010,04-17-2010,2000,9,,22.4,C
2010,08-05-2010,,0,,23,C
2010,08-22-2010,1108,8,,23,C
2010,02-23-2010,1355,2,,23.1,C
2010,05-13-2010,1700,5,,23.4,C
2010,08-20-2010,1115,0,1115,23.5,C
2010,06-22-2010,1415,0,1415,23.5,C
2010,06-17-2010,1720,0,1720,23.8,C
2010,08-18-2010,1405,3,,24,C
2010,02-25-2010,1410,6,,24,C
2010,05-25-2010,2205,2,,24,C
2010,03-06-2010,1630,0,,24,C
2010,09-13-2010,930,8,,24.4,C
2010,03-15-2010,2120,10,,24.6,C
2010,06-20-2010,1513,0,1513,25,C
2010,06-28-2010,,0,,25,C
2010,07-31-2010,,0,,25,C
2010,08-16-2010,,0,,25,C
2010,09-12-2010,,0,,25,C
2010,07-31-2010,1550,8,,25,C
2010,07-20-2010,1300,6,2000,25,C
2010,07-10-2010,,0,,25.25,C
2010,03-18-2010,1450,8,,25.25,C
2010,03-15-2010,1337,6,,25.6,C
2010,02-28-2010,1250,3,,26.3,C
2010,01-25-2010,1310,0,,26.4,C
2010,03-31-2010,1130,10,,26.7,C
2010,04-30-2010,700,8,,27,C
2010,06-26-2010,940,5,,27,C
2010,08-16-2010,1645,0,1645,28,C
2010,06-14-2010,1320,0,1320,28,C
2010,05-09-2010,535,6,,29.1,C
2010,03-19-2010,1440,9,,29.5,C
2010,06-19-2010,1715,41,1715,30,C
2010,07-28-2010,1700,0,1700,30,C
2010,09-16-2010,1410,0,1410,30,C
2010,06-16-2010,2200,1,2200,30,C
2010,06-18-2010,1405,0,1405,30,C
2010,06-27-2010,2000,0,2000,30,C
2010,07-30-2010,1705,10,,30,C
2010,08-23-2010,1056,6,,30,C
2010,07-26-2010,1700,1,1107,30,C
2010,07-30-2010,400,0,2100,30,C
2010,07-29-2010,1530,0,1530,30.2,C
2010,03-31-2010,1630,7,,30.7,C
2010,07-14-2010,1850,0,1850,31,C
2010,01-26-2010,1315,6,,31.2,C
2010,02-21-2010,700,9,,31.7,C
2010,03-13-2010,1600,3,,31.7,C
2010,08-16-2010,1330,1,,32,C
2010,09-25-2010,1508,0,1508,32.3,C
2010,07-11-2010,1750,1,1750,33.7,C
2010,05-12-2010,1515,10,,34.2,C
2010,04-01-2010,1355,3,,34.3,C
2010,06-19-2010,1515,1,,34.4,C
2010,03-13-2010,1220,6,,34.5,C
2010,05-26-2010,1010,0,,34.5,C
2010,07-30-2010,1350,0,1350,35,C
2010,05-29-2010,1115,0,1115,35,C
2010,06-21-2010,,0,,35,C
2010,07-11-2010,,0,,35,C
2010,03-23-2010,1015,4,,35,C
2010,06-23-2010,1150,0,1150,36,C
2010,08-16-2010,1515,8,,36.5,C
2010,05-28-2010,1625,0,1625,37,C
2010,07-15-2010,0,6,,37.9,C
2010,07-04-2010,1202,6,,38,C
2010,05-07-2010,1440,5,,38.3,C
2010,01-25-2010,1600,4,,38.8,C
2010,07-28-2010,1500,0,1500,39,C
2010,07-18-2010,1535,0,1535,39,C
2010,04-02-2010,1350,8,,39,C
2010,01-15-2010,1215,9,,39.1,C
2010,04-26-2010,1415,3,,39.3,C
2010,07-28-2010,1700,0,1700,40,C
2010,07-28-2010,1534,1,1534,40,C
2010,06-17-2010,1350,0,1350,40,C
2010,08-06-2010,,0,,40,C
2010,07-31-2010,1400,7,,40,C
2010,08-01-2010,1959,5,,40,C
2010,10-28-2010,1641,5,,40,C
2010,01-26-2010,1455,10,,40.4,C
2010,07-28-2010,1312,0,1312,41,C
2010,03-26-2010,1035,8,,42.6,C
2010,05-13-2010,1455,7,,42.8,C
2010,03-22-2010,1825,1,,43.3,C
2010,05-10-2010,1835,2,,43.8,C
2010,04-10-2010,1355,0,1355,44,C
2010,08-18-2010,1515,0,1515,45,C
2010,06-17-2010,1645,6,1645,45,C
2010,08-15-2010,1428,1,,45,C
2010,06-20-2010,1420,10,,45.24,C
2010,01-28-2010,1510,7,,49.3,C
2010,03-14-2010,1500,6,,49.4,C
2010,09-13-2010,1545,2,1545,50,C
2010,06-17-2010,1331,0,1331,50,C
2010,06-17-2010,1417,0,1417,50,C
2010,06-18-2010,1620,0,1620,50,C
2010,11-05-2010,1330,10,,50,C
2010,03-15-2010,1450,2,,50,C
2010,03-18-2010,1600,1,,51.4,C
2010,08-11-2010,1420,8,,52,C
2010,06-29-2010,2030,1,2030,53,C
2010,06-14-2010,,0,,54,C
2010,03-29-2010,1415,2,,54.1,C
2010,04-02-2010,1525,6,,54.9,C
2010,07-29-2010,1200,0,1200,55,C
2010,02-19-2010,1530,1,,55,C
2010,06-24-2010,1445,1,,55.4,C
2010,06-19-2010,1800,0,1800,55.6,C
2010,07-15-2010,1315,0,1315,57,C
2010,04-15-2010,1305,5,,57.6,C
2010,04-11-2010,1250,2,,58.8,C
2010,06-01-2010,1500,0,1500,60,C
2010,06-14-2010,1622,1,1622,60,C
2010,06-16-2010,1630,1,1630,60,C
2010,10-13-2010,1716,8,,60,C
2010,03-22-2010,1730,0,,60.3,C
2010,03-06-2010,1500,5,,60.6,C
2010,07-23-2010,1800,2,,61.3,C
2010,04-05-2010,1800,6,,61.3,C
2010,05-30-2010,1900,0,1900,65,C
2010,05-29-2010,1235,0,1235,65,C
2010,06-14-2010,1628,2,1628,65,C
2010,07-28-2010,1330,0,1330,66.2,C
2010,06-21-2010,1919,4,,68,C
2010,07-20-2010,1515,1,1515,68.8,C
2010,04-22-2010,1405,1,,68.9,C
2010,07-28-2010,2100,0,2100,70,C
2010,08-15-2010,1945,2,,70,C
2010,09-25-2010,1124,0,1124,73,C
2010,05-05-2010,1100,3,,74.7,C
2010,07-28-2010,1630,0,1630,75,C
2010,06-02-2010,1625,0,1625,75,C
2010,06-03-2010,1840,2,1840,75,C
2010,03-30-2010,1630,9,,75.1,C
2010,08-24-2010,1444,0,,77,C
2010,02-20-2010,1230,9,,77.7,C
2010,04-26-2010,1735,1,1735,78.2,C
2010,04-12-2010,1753,2,,80,C
2010,07-29-2010,1445,0,2000,80,C
2010,07-31-2010,1433,7,,85,C
2010,04-01-2010,1400,10,,87.5,C
2010,05-26-2010,1340,0,1340,90,C
2010,05-06-2010,1750,1,1750,100,D
2010,03-05-2010,2105,5,,100.3,D
2010,08-08-2010,,0,,101,D
2010,06-27-2010,1340,1,1340,109,D
2010,06-25-2010,1408,7,,111,D
2010,08-02-2010,1340,1,,112,D
2010,04-29-2010,1407,0,1407,117,D
2010,03-27-2010,1445,4,,125,D
2010,04-11-2010,1250,8,,134.6,D
2010,07-08-2010,1530,3,1545,135,D
2010,03-14-2010,1435,1,,136.1,D
2010,07-30-2010,1700,2,1700,150,D
2010,04-24-2010,1730,29,1730,158,D
2010,07-15-2010,1448,0,1448,164.1,D
2010,03-31-2010,1315,7,,172.6,D
2010,06-12-2010,1515,2,1515,174.6,D
2010,07-30-2010,1215,0,1215,175,D
2010,06-27-2010,,3,,175,D
2010,10-26-2010,1115,9,,192,D
2010,07-31-2010,1040,0,1040,200,D
2010,08-18-2010,1900,0,2240,209,D
2010,03-12-2010,1255,1,,230,D
2010,07-27-2010,1740,1,1740,250,D
2010,06-15-2010,1534,2,1534,277,D
2010,04-29-2010,1550,3,,286.5,D
2010,03-13-2010,1100,9,,308.1,E
2010,03-30-2010,1145,7,,358,E
2010,08-10-2010,1400,10,1800,569,E
2010,07-25-2010,,,,677,E
2010,02-20-2010,1005,8,,893,E
2010,08-03-2010,1809,,,2000,F
2010,06-23-2010,926,3,1500,3046,F
